55,66
59,64
33,54
29,41
47,55
55,68
47,64
59,66
44,56
8,11
48,56
14,33
6,50
14,42
32,78
6,59
6,68
10,38
5,78
14,26
14,35
62,78
43,55
43,64
28,39
29,40
42,77
10,26
62,64
28,41
10,35
54,78
58,69
7,11
62,66
58,71
16,53
16,62
16,71
16,80
50,60
24,50
50,69
24,59
61,78
24,68
28,38
23,78
43,56
28,40
61,64
9,11
46,60
24,29
58,70
42,53
61,66
30,60
42,62
5,33
5,42
6,16
42,46
1,38
58,72
30,53
42,55
42,64
57,64
49,60
43,46
53,78
46,57
46,66
6,11
13,26
19,39
13,35
11,44
11,53
11,62
11,71
49,55
57,68
11,80
49,64
33,77
38,73
24,28
19,41
30,41
30,50
42,52
42,61
24,30
30,52
42,54
45,46
45,55
45,64
30,54
42,56
9,16
15,50
41,78
52,78
15,59
15,68
19,38
30,38
56,66
14,78
12,26
12,35
63,65
19,40
30,40
56,68
60,68
49,56
48,60
63,67
30,51
33,53
33,62
44,46
44,55
44,64
48,55
48,64
45,56
60,65
33,41
60,67
59,69
47,60
33,52
33,61
29,39
8,16
