9,17
17,9
5,17
17,5
12,19
19,12
3,4
4,3
14,8
8,14
11,17
17,11
7,5
5,7
10,9
9,10
17,0
0,17
16,9
9,16
14,3
3,14
4,17
17,4
11,0
0,11
8,17
17,8
2,1
1,2
5,18
18,5
9,3
3,9
9,14
14,9
15,9
9,15
19,3
3,19
8,0
0,8
7,19
19,7
7,1
1,7
3,7
7,3
4,19
19,4
7,15
15,7
10,17
17,10
13,16
16,13
3,10
10,3
11,1
1,11
10,11
11,10
14,15
15,14
17,13
13,17
17,7
7,17
2,16
16,2
5,9
9,5
6,9
9,6
8,2
2,8
12,1
1,12
6,19
19,6
11,14
14,11
8,16
16,8
18,16
16,18
9,11
11,9
19,0
0,19
13,15
15,13
10,2
2,10
11,5
5,11
5,3
3,5
4,11
11,4
4,12
12,4
7,14
14,7
14,19
19,14
5,10
10,5
13,6
6,13
5,14
14,5
18,2
2,18
8,1
1,8
15,11
11,15
5,6
6,5
19,10
10,19
6,4
4,6
1,16
16,1
8,5
5,8
5,12
12,5
6,18
18,6
10,4
4,10
11,8
8,11
16,12
12,16
1,4
4,1
1,3
3,1
0,2
2,0
13,4
4,13
3,17
17,3
18,3
3,18
3,16
16,3
11,3
3,11
0,6
6,0
15,19
19,15
12,17
17,12
10,1
1,10
7,9
9,7
17,19
19,17
19,11
11,19
0,14
14,0
13,18
18,13
18,12
12,18
12,7
7,12
2,4
4,2
13,11
11,13
16,5
5,16
9,0
0,9
9,8
8,9
16,10
10,16
0,3
3,0
2,11
11,2
15,0
0,15
2,14
14,2
6,17
17,6
0,1
1,0
