2,5
5,2
17,5
5,17
11,10
10,11
11,3
3,11
19,2
2,19
3,6
6,3
12,11
11,12
8,16
16,8
2,0
0,2
14,2
2,14
19,4
4,19
15,19
19,15
2,4
4,2
12,17
17,12
12,4
4,12
8,15
15,8
11,6
6,11
19,16
16,19
7,14
14,7
13,0
0,13
14,0
0,14
17,19
19,17
2,11
11,2
6,4
4,6
4,11
11,4
3,13
13,3
11,16
16,11
12,6
6,12
17,7
7,17
15,2
2,15
3,0
0,3
15,4
4,15
6,14
14,6
10,12
12,10
8,5
5,8
13,7
7,13
18,6
6,18
15,10
10,15
7,0
0,7
6,16
16,6
19,13
13,19
15,7
7,15
5,7
7,5
8,1
1,8
4,17
17,4
15,14
14,15
9,13
13,9
13,2
2,13
19,0
0,19
5,12
12,5
8,2
2,8
13,8
8,13
15,5
5,15
16,3
3,16
2,6
6,2
8,3
3,8
0,18
18,0
19,18
18,19
13,5
5,13
7,11
11,7
16,4
4,16
3,10
10,3
4,13
13,4
13,14
14,13
15,17
17,15
8,19
19,8
7,10
10,7
15,1
1,15
11,5
5,11
16,9
9,16
0,11
11,0
5,3
3,5
0,15
15,0
16,14
14,16
9,6
6,9
18,3
3,18
18,15
15,18
9,19
19,9
1,9
9,1
6,8
8,6
12,19
19,12
17,9
9,17
16,10
10,16
10,13
13,10
1,5
5,1
0,6
6,0
8,11
11,8
14,1
1,14
1,16
16,1
12,1
1,12
18,12
12,18
9,12
12,9
9,11
11,9
15,12
12,15
4,14
14,4
3,15
15,3
18,14
14,18
11,14
14,11
15,13
13,15
17,18
18,17
