58,60,54,21,46,0,26,45,10,3,1
58,60,54,6,46,0,26,45,10,3,0
8,56,12,36,58,26,37,43,3,0,1
8,56,12,36,17,26,37,43,3,0,0
3,60,12,8,27,0,38,44,37,58,1
3,60,35,8,27,0,38,44,37,58,0
0,1,52,42,45,58,22,33,60,5,1
0,1,6,42,45,58,22,33,60,5,0
10,53,1,60,16,39,28,36,0,58,1
10,53,22,60,16,39,28,36,0,58,0
58,0,57,5,40,19,60,27,15,51,1
58,0,46,5,40,19,60,27,15,51,0
56,35,42,47,19,57,60,2,8,0,1
56,35,42,47,19,57,55,2,8,0,0
16,0,49,56,29,5,55,59,37,14,1
16,0,49,56,29,5,55,59,45,14,0
24,59,9,57,31,4,60,49,0,43,1
24,59,9,57,31,4,40,49,0,43,0
59,60,0,46,17,56,35,9,40,2,1
33,60,0,46,17,56,35,9,40,2,0
15,60,56,49,0,36,9,59,17,31,1
22,60,56,49,0,36,9,59,17,31,0
35,53,0,11,56,16,47,33,1,60,1
35,53,0,12,56,16,47,33,1,60,0
52,55,0,2,11,59,24,40,60,34,1
52,55,0,2,11,59,56,40,60,34,0
17,29,2,55,11,0,60,39,52,59,1
17,22,2,55,11,0,60,39,52,59,0
18,27,55,0,59,38,15,8,60,2,1
18,27,55,0,59,38,15,8,7,2,0
29,2,12,53,52,57,38,18,0,60,1
29,2,55,53,52,57,38,18,0,60,0
60,14,57,0,35,41,9,53,24,1,1
60,14,57,0,35,41,9,3,24,1,0
8,22,0,52,56,13,23,40,59,2,1
8,22,0,52,1,13,23,40,59,2,0
21,14,2,54,49,45,32,0,55,29,1
21,14,2,54,49,45,3,0,55,29,0
19,7,3,60,59,0,46,51,25,36,1
19,7,3,60,59,0,46,51,25,14,0
2,32,0,7,50,21,59,24,60,44,1
2,30,0,7,50,21,59,24,60,44,0
27,59,13,60,49,25,0,7,44,4,1
27,59,47,60,49,25,0,7,44,4,0
32,55,0,21,22,50,46,58,15,2,1
24,55,0,21,22,50,46,58,15,2,0
0,52,22,57,2,33,60,48,23,16,1
0,10,22,57,2,33,60,48,23,16,0
51,11,3,60,1,0,36,17,29,56,1
51,11,3,60,1,0,36,17,16,56,0
20,41,0,9,45,2,33,55,3,60,1
20,41,0,8,45,2,33,55,3,60,0
51,57,59,46,0,37,7,36,3,19,1
51,57,59,44,0,37,7,36,3,19,0
52,41,0,13,3,18,60,4,58,25,1
52,41,0,13,3,30,60,4,58,25,0
43,45,4,24,1,51,0,60,11,29,1
43,45,4,24,1,51,0,60,58,29,0
45,4,43,30,22,10,59,54,0,3,1
5,4,43,30,22,10,59,54,0,3,0
1,14,60,20,51,25,4,0,43,58,1
1,14,60,20,51,25,46,0,43,58,0
39,34,60,0,50,2,57,15,6,14,1
39,34,60,0,50,2,57,15,6,5,0
1,31,5,60,43,0,21,58,49,8,1
1,31,5,60,43,55,21,58,49,8,0
58,60,5,26,0,49,20,1,36,8,1
58,60,5,59,0,49,20,1,36,8,0
8,58,60,3,7,0,42,22,31,48,1
8,58,60,3,7,49,42,22,31,48,0
1,55,41,6,10,0,26,34,23,53,1
1,55,41,6,10,0,8,34,23,53,0
7,27,42,56,11,24,1,2,35,54,1
7,27,42,56,11,24,1,2,35,26,0
57,8,36,12,3,28,55,25,2,43,1
57,8,36,12,3,28,21,25,2,43,0
26,3,37,58,29,44,13,56,9,4,1
26,3,37,58,29,44,13,56,9,57,0
5,27,45,10,57,4,30,38,14,59,1
5,27,45,10,57,4,30,38,14,33,0
31,46,58,60,39,11,28,15,6,5,1
31,12,58,60,39,11,28,15,6,5,0
4,5,1,46,11,23,44,60,55,31,1
4,5,34,46,11,23,44,60,55,31,0
38,60,52,20,47,37,1,4,8,58,1
38,60,52,20,47,37,1,4,8,48,0
23,3,24,53,41,57,60,14,9,1,1
23,3,24,53,41,31,60,14,9,1,0
55,1,33,22,15,50,46,56,30,3,1
55,1,59,22,15,50,46,56,30,3,0
31,57,47,56,23,51,34,16,2,4,1
31,57,47,56,23,51,34,0,2,4,0
58,3,35,32,48,17,5,24,52,57,1
54,3,35,32,48,17,5,24,52,57,0
4,25,18,59,6,33,58,49,53,36,1
4,25,18,59,6,33,11,49,53,36,0
19,59,5,54,34,26,60,7,37,50,1
28,59,5,54,34,26,60,7,37,50,0
3,1,56,23,59,47,16,51,33,22,1
3,1,56,23,59,47,16,51,33,30,0
52,57,4,34,23,24,17,48,60,2,1
52,57,4,34,23,24,17,56,60,2,0
13,27,57,9,59,37,44,38,4,1,1
29,27,57,9,59,37,44,38,4,1,0
28,38,5,60,39,45,10,58,2,14,1
13,38,5,60,39,45,10,58,2,14,0
57,38,56,60,1,6,15,17,30,50,1
57,38,56,60,1,6,15,17,16,50,0
54,45,26,58,3,21,46,10,60,0,1
54,45,26,23,3,21,46,10,60,0,0
0,8,36,26,58,37,43,12,56,3,1
0,8,36,26,58,15,43,12,56,3,0
58,0,37,3,60,44,12,8,27,38,1
58,5,37,3,60,44,12,8,27,38,0
58,0,45,33,22,1,52,42,60,5,1
58,0,45,33,22,1,52,42,54,5,0
10,28,16,39,0,58,36,53,1,60,1
10,28,16,39,0,24,36,53,1,60,0
51,0,19,58,40,5,57,15,27,60,1
51,0,19,58,40,2,57,15,27,60,0
47,57,35,0,8,60,42,2,56,19,1
47,57,35,0,8,60,42,39,56,19,0
16,55,0,29,59,49,5,56,37,14,1
16,55,0,29,59,49,5,56,37,58,0
59,31,0,9,24,4,43,49,60,57,1
59,31,0,9,24,4,55,49,60,57,0
40,35,2,46,0,9,56,59,17,60,1
40,35,2,46,0,9,56,59,17,30,0
31,17,15,59,49,60,36,56,0,9,1
31,17,3,59,49,60,36,56,0,9,0
1,47,0,60,11,33,56,53,35,16,1
1,47,0,60,11,33,56,53,35,29,0
52,2,34,24,0,11,55,59,40,60,1
52,2,34,24,0,11,55,59,45,60,0
0,55,59,52,29,11,39,17,2,60,1
0,55,59,52,29,11,39,17,34,60,0
60,27,0,18,38,59,8,55,15,2,1
60,27,0,18,38,44,8,55,15,2,0
57,29,38,53,60,0,18,52,12,2,1
16,29,38,53,60,0,18,52,12,2,0
41,24,9,60,1,53,57,14,35,0,1
41,58,9,60,1,53,57,14,35,0,0
56,13,52,8,59,0,22,2,40,23,1
56,19,52,8,59,0,22,2,40,23,0
55,45,49,29,2,32,21,14,54,0,1
55,45,49,29,2,32,27,14,54,0,0
46,60,3,36,59,51,25,7,19,0,1
46,60,3,36,41,51,25,7,19,0,0
24,2,32,7,59,21,60,0,44,50,1
24,2,32,7,59,21,60,0,44,6,0
